client_id,birth_number,district_id
674,275111,11
675,751112,50
676,530207,70
677,630524,5
678,335528,39
679,400319,8
680,405509,8
681,770115,15
682,791021,18
683,455829,76
684,765410,3
685,306213,72
686,716003,32
687,750128,32
688,540504,1
689,640802,70
690,421107,38
691,445113,38
692,365111,74
693,350317,74
694,360228,29
695,550627,28
696,526201,28
697,740501,1
698,540227,75
699,225422,26
700,291120,12
702,686107,31
703,590426,4
704,750501,54
705,381210,19
706,480805,1
707,411214,1
708,776127,50
709,341229,1
710,251128,23
711,635816,48
712,621204,54
713,805329,20
714,701008,31
715,525115,1
716,546204,1
717,680502,54
718,605228,54
719,740809,46
720,540906,29
721,400215,43
722,706125,62
723,575726,12
724,535202,65
725,561211,75
726,350213,16
727,305720,32
728,320120,32
729,695317,63
730,730814,63
731,795122,74
732,780705,74
733,780728,46
734,855114,46
735,731126,1
736,775426,1
737,521104,74
738,200326,25
739,420416,72
740,231107,55
741,410709,74
742,516015,1
743,410217,1
744,400718,26
745,665214,52
746,620416,52
747,535820,24
748,361015,25
749,335729,25
750,565929,70
751,590309,70
752,441220,72
753,405924,72
754,475604,63
755,471121,72
756,200513,31
757,706220,71
758,615726,68
759,550520,29
760,365825,57
762,370420,21
763,275824,75
764,556013,49
765,691231,65
766,265703,1
767,230616,1
768,315923,32
769,771215,40
772,441210,64
773,351030,4
774,730303,70
775,406130,51
776,535503,1
777,610520,1
778,400604,13
779,445612,69
780,240226,3
781,450920,72
782,635318,5
783,715325,27
784,641228,27
785,340909,63
786,780906,53
787,471208,3
788,740903,47
789,310921,4
790,675509,63
791,505929,68
793,780204,21
794,795716,21
796,190830,1
797,480127,8
798,405212,27
799,360219,27
803,510215,35
804,565123,35
806,800422,60
807,696021,53
808,631128,31
809,191015,49
810,455924,58
811,400528,58
812,401206,39
813,640129,70
814,591001,19
815,646027,22
816,585201,17
818,660427,54
819,580708,74
820,606106,74
821,480512,49
822,595508,37
823,561024,41
824,520905,27
825,770402,74
826,780123,1
827,655904,10
828,581210,10
829,570519,24
830,480827,69
831,480502,2
832,236223,67
833,600611,5
834,221217,54
835,436020,28
836,480614,28
837,741014,71
838,685204,71
839,555518,47
840,370426,20
841,810210,69
842,335703,12
843,575903,54
844,450114,22
845,535130,22
846,491201,35
847,791225,49
849,395606,26
850,690921,19
851,190616,25
852,165604,25
853,490602,70
854,416102,72
855,300128,58
856,190122,23
857,480221,32
858,595329,47
859,685729,1
860,671208,1
861,565913,1
862,520105,30
863,686129,54
864,530327,11
865,466103,11
866,756124,38
870,570506,70
871,740311,76
872,630222,35
873,440105,60
874,525905,14
875,561207,14
876,601125,1
877,275121,5
878,200417,5
879,436208,38
880,600217,49
881,755222,5
882,335909,70
883,205106,75
884,181014,75
885,230208,34
886,480202,34
887,736128,66
888,731026,28
889,816024,54
890,190330,77
891,310131,33
892,225524,42
893,356023,43
894,340818,75
895,700703,39
896,735424,36
897,810325,36
898,435427,38
899,440213,38
900,770410,73
901,191221,39
902,500815,23
903,340306,31
904,320208,1
905,401023,38
906,780616,65
907,480311,51
908,615307,51
909,750907,23
910,610927,1
911,391128,43
912,201029,76
913,381118,1
914,215119,1
915,750503,12
916,580629,3
917,735916,25
918,641223,26
921,545213,7
922,725816,22
923,780822,22
924,530712,1
925,590813,54
926,810122,1
927,741026,1
928,516010,66
929,350423,30
930,595825,68
931,680607,16
932,470927,3
933,785311,33
934,820819,33
935,465517,42
936,430730,42
937,311114,1
938,445807,59
939,520803,21
940,600811,53
941,351005,10
942,315902,12
943,360926,12
944,701218,39
945,775110,39
946,510806,54
948,240422,49
949,760727,3
950,655412,76
951,600917,76
952,515501,63
953,371017,25
954,426020,1
955,700128,57
956,661021,1
957,416223,56
958,420504,56
959,625912,11
960,575413,16
961,316004,15
962,660219,19
963,666217,64
964,536021,10
965,726201,13
966,780902,13
967,790620,76
968,570217,69
970,570329,36
971,195101,46
972,170506,46
973,706006,14
974,630624,14
975,595712,1
976,556119,16
977,265510,76
978,685609,56
979,661118,56
980,610930,40
981,600628,5
984,490703,20
985,475113,20
986,550516,74
987,520520,60
988,396001,40
989,330815,40
990,611224,71
991,410627,32
992,480521,19
993,696031,44
994,710427,36
995,736030,36
996,805626,1
997,501111,59
998,535628,59
999,665901,74
1000,611027,74
1001,470414,44
1002,445308,42
1003,376031,31
1004,570925,3
1006,425628,46
1007,380105,46
1008,560706,6
1009,625427,33
1010,550816,33
1011,390713,16
1012,665213,70
1013,730312,70
1014,310208,1
1015,340313,62
1016,405721,62
1017,435212,6
1018,450228,53
1019,466222,14
1020,775510,72
1021,770805,2
1022,400723,31
1023,381228,1
1024,560329,25
1025,640708,15
1026,790812,57
1027,406104,1
1028,341002,1
1029,545316,1
1030,471011,1
1031,686211,2
1032,386030,1
1033,371014,1
1034,746111,52
1035,715328,13
1036,761206,13
1037,656101,1
1038,615923,69
1039,806011,70
1040,600617,1
1041,610705,72
1042,665925,17
1043,631116,17
1044,715913,9
1045,476224,60
1046,750824,1
1047,635711,16
1048,746003,70
1049,421111,1
1050,715701,27
1051,715826,73
1052,640311,56
